cycle_no,avg_cycle_loss,precision,recall,f_score
1.0,10314.124755060673,67.85714285714286,6.998158379373849,12.687813021702837
2.0,8518.57581436634,57.14285714285714,6.629834254143646,11.88118811881188
3.0,8096.3601419270035,42.68292682926829,6.445672191528545,11.200000000000001
4.0,7899.117136180401,32.231404958677686,7.18232044198895,11.746987951807228
5.0,7846.991480183601,61.19402985074627,22.65193370165746,33.064516129032256
6.0,7818.607979047299,49.54128440366973,19.88950276243094,28.383705650459916
7.0,7786.710482621193,52.09125475285171,25.23020257826888,33.99503722084367
8.0,7772.8843739748,56.060606060606055,27.255985267034994,36.679058240396536
9.0,7766.927288347482,54.71698113207547,26.703499079189687,35.89108910891089
10.0,7712.144451653958,62.45733788395904,33.70165745856354,43.7799043062201
11.0,7719.262016910315,74.92537313432835,46.224677716390424,57.175398633257416
12.0,7699.966652959585,73.98373983739837,50.27624309392266,59.86842105263158
13.0,7699.329745733738,70.98445595854922,50.46040515653776,58.98815931108719
14.0,7665.616835200786,77.0573566084788,56.9060773480663,65.46610169491525
15.0,7686.508815163374,77.27272727272727,56.353591160220994,65.17571884984025
16.0,7682.4337926983835,78.46153846153847,65.74585635359117,71.54308617234469
17.0,7650.113545650243,73.65145228215768,65.37753222836096,69.26829268292684
18.0,7642.446084368229,78.17796610169492,67.95580110497238,72.70935960591135
19.0,7633.9686445116995,77.28337236533957,60.773480662983424,68.04123711340205
20.0,7613.02458178997,78.73684210526316,68.87661141804789,73.47740667976424
21.0,7608.363730281591,80.74534161490683,71.8232044198895,76.0233918128655
22.0,7624.130509030819,78.74493927125506,71.63904235727439,75.02410800385728
23.0,7619.408803415298,79.35222672064778,72.19152854511971,75.60270009643202
24.0,7597.721904295683,81.63672654690619,75.32228360957643,78.35249042145594
25.0,7596.641555702687,79.48717948717949,74.21731123388582,76.76190476190476
26.0,7609.308656942844,81.28654970760235,76.79558011049724,78.97727272727273
27.0,7601.244617664814,81.08108108108108,77.34806629834254,79.17059377945336
28.0,7576.655427199602,81.08108108108108,77.34806629834254,79.17059377945336
29.0,7595.347267413139,83.49705304518665,78.26887661141805,80.79847908745246
30.0,7581.759791576862,81.02766798418972,75.50644567219152,78.16968541468066
31.0,7578.544304955006,80.19047619047619,77.53222836095765,78.83895131086143
32.0,7575.3049142479895,83.203125,78.45303867403315,80.75829383886256
33.0,7576.69327147007,83.88998035363457,78.63720073664825,81.1787072243346
34.0,7563.893083208799,83.52713178294574,79.37384898710866,81.3975448536355
35.0,7551.045093023777,84.05511811023622,78.63720073664825,81.25594671741199
36.0,7561.537205433846,84.13926499032883,80.11049723756905,82.0754716981132
37.0,7551.373210412264,83.17214700193423,79.18968692449356,81.1320754716981
38.0,7551.396895521879,82.72552783109404,79.37384898710866,81.01503759398496
39.0,7543.606206023693,83.3976833976834,79.55801104972376,81.43261074458059
40.0,7545.368865507841,82.5,79.00552486187846,80.71495766698024
41.0,7547.089004933834,84.94208494208493,81.03130755064457,82.94062205466541
42.0,7550.065960592032,83.10940499040306,79.74217311233886,81.39097744360902
43.0,7537.865974748134,84.60038986354775,79.92633517495395,82.19696969696969
44.0,7540.390589225292,83.13725490196079,78.08471454880295,80.5318138651472
45.0,7540.292868721485,83.3969465648855,80.47882136279927,81.91190253045923
46.0,7520.755095380545,82.73921200750469,81.21546961325967,81.97026022304833
